material_id,material_name,material_application,climate_zone,durability_requirement,budget_constraint,supplier_name,availability_status,lead_time_days,project_type,project_specifications_match_score,sustainability_focus,supplier_contact_number
MAT2204,Asphalt,Finishing,Humid,10-25 years,Premium,Supplier_42,Limited,48,Infrastructure,0.63,Standard,+91 8406306174
MAT2205,Sandstone,Structural,Cold,50+ years,Premium,Supplier_45,Limited,55,Commercial,0.42,Eco-friendly,+91 9747014289
MAT2206,Concrete,Structural,Urban,25-50 years,Premium,Supplier_56,Limited,39,Marine structures,0.86,Standard,+91 7103766984
MAT2207,Plaster,Insulation,Urban,25-50 years,Economy,Supplier_100,Limited,37,Infrastructure,0.4,Eco-friendly,+91 9271768077
MAT2208,Vinyl,Decorative,Moderate,25-50 years,Economy,Supplier_78,In Stock,4,Roads and highways,0.59,Eco-friendly,+91 8082914235
MAT2209,Laminate,Decorative,Dry,10-25 years,Premium,Supplier_80,Limited,38,Roads and highways,0.95,Eco-friendly,+91 8234607783
MAT2210,Bamboo,Flooring,Industrial,50+ years,Luxury,Supplier_43,Out of Stock,45,Residential,0.52,Standard,+91 9038438301
MAT2211,Recycled Plastic,Insulation,Coastal,5-10 years,Economy,Supplier_55,Limited,16,Industrial plants,0.11,Eco-friendly,+91 9963010084
MAT2212,Polycarbonate,Flooring,Humid,50+ years,Standard,Supplier_5,Out of Stock,13,Other,0.76,Standard,+91 7740385731
MAT2213,Acrylic,Flooring,Other,25-50 years,Economy,Supplier_52,Out of Stock,60,Airports,0.11,Eco-friendly,+91 9350399941
MAT2214,Foam,Insulation,Other,50+ years,Premium,Supplier_62,In Stock,20,Commercial,0.42,Eco-friendly,+91 9124597330
MAT2215,Rubber,Structural,Moderate,10-25 years,Premium,Supplier_63,In Stock,40,High-rise buildings,0.13,Standard,+91 8654346090
MAT2216,Other,Structural,Coastal,10-25 years,Luxury,Supplier_44,Out of Stock,19,Marine structures,0.11,Eco-friendly,+91 9090351901
MAT2217,Limestone,Facade,Cold,50+ years,Standard,Supplier_18,Out of Stock,18,Tunnels,0.42,Standard,+91 8911997440
MAT2218,Marble,Decorative,Coastal,25-50 years,Luxury,Supplier_43,Limited,38,Other,0.67,Standard,+91 9038438301
MAT2219,Paint,Flooring,Mountain,25-50 years,Standard,Supplier_92,Limited,26,Airports,0.9,Standard,+91 8403005864
MAT2220,Granite,Structural,Humid,5-10 years,Premium,Supplier_33,In Stock,52,Tunnels,0.02,Eco-friendly,+91 8687011225
MAT2221,Copper,Facade,Rural,50+ years,Economy,Supplier_66,Out of Stock,57,High-rise buildings,0.38,Standard,+91 8512956476
MAT2222,Ceramic Tile,Decorative,Hot,5-10 years,Standard,Supplier_79,In Stock,21,Residential,0.88,Standard,+91 9340848713
MAT2223,Adhesive,Insulation,Hot,10-25 years,Premium,Supplier_60,Limited,21,Infrastructure,0.66,Standard,+91 7340314826
MAT2224,Brick,Insulation,Cold,10-25 years,Luxury,Supplier_89,Out of Stock,36,Marine structures,0.53,Standard,+91 9969226517
MAT2225,Wood,Flooring,Humid,25-50 years,Luxury,Supplier_46,In Stock,6,Commercial,0.55,Standard,+91 9553802633
MAT2226,Clay,Facade,Moderate,25-50 years,Economy,Supplier_86,Limited,44,Infrastructure,0.69,Eco-friendly,+91 9450871641
MAT2227,Fiber,Finishing,Other,25-50 years,Luxury,Supplier_44,Out of Stock,32,Commercial,0.19,Standard,+91 9090351901
MAT2228,Glass,Facade,Industrial,10-25 years,Premium,Supplier_67,Limited,22,Bridges,0.48,Eco-friendly,+91 9809772815
MAT2229,Cement,Flooring,Humid,50+ years,Economy,Supplier_86,Out of Stock,12,Roads and highways,0.84,Eco-friendly,+91 9450871641
MAT2230,Steel,Insulation,Hot,5-10 years,Premium,Supplier_69,Limited,21,Roads and highways,0.75,Eco-friendly,+91 8122680822
MAT2231,Aluminum,Flooring,Moderate,25-50 years,Economy,Supplier_75,Out of Stock,50,Residential,0.33,Standard,+91 7255077357
MAT2232,Gypsum,Flooring,Cold,10-25 years,Standard,Supplier_15,Limited,51,Other,0.43,Standard,+91 9855764195
MAT2233,PVC,Flooring,Cold,10-25 years,Economy,Supplier_50,In Stock,24,Other,0.88,Eco-friendly,+91 9224117961
MAT2234,Bitumen,Facade,Moderate,5-10 years,Premium,Supplier_77,In Stock,42,Bridges,0.79,Eco-friendly,+91 9060217800
MAT2235,Asphalt,Other,Industrial,50+ years,Premium,Supplier_62,Limited,53,Roads and highways,0.82,Eco-friendly,+91 9124597330
MAT2236,Sandstone,Finishing,Urban,5-10 years,Standard,Supplier_36,Limited,13,Marine structures,0.49,Eco-friendly,+91 9803405485
MAT2237,Concrete,Facade,Humid,50+ years,Premium,Supplier_82,Limited,18,Industrial plants,0.61,Eco-friendly,+91 9679030191
MAT2238,Plaster,Flooring,Coastal,5-10 years,Premium,Supplier_20,Limited,34,Tunnels,0.26,Standard,+91 7796737492
MAT2239,Vinyl,Flooring,Coastal,10-25 years,Standard,Supplier_48,Out of Stock,37,High-rise buildings,0.98,Eco-friendly,+91 9115647592
MAT2240,Laminate,Other,Hot,25-50 years,Standard,Supplier_77,In Stock,46,Other,0.13,Eco-friendly,+91 9060217800
MAT2241,Bamboo,Flooring,Coastal,25-50 years,Premium,Supplier_52,In Stock,46,High-rise buildings,0.41,Eco-friendly,+91 9350399941
MAT2242,Recycled Plastic,Facade,Rural,25-50 years,Luxury,Supplier_56,Out of Stock,12,Industrial plants,0.92,Standard,+91 7103766984
MAT2243,Polycarbonate,Finishing,Mountain,25-50 years,Economy,Supplier_36,Limited,20,Other,0.46,Standard,+91 9803405485
MAT2244,Acrylic,Structural,Mountain,25-50 years,Standard,Supplier_55,Out of Stock,10,Other,0.89,Standard,+91 9963010084
MAT2245,Foam,Structural,Hot,10-25 years,Standard,Supplier_53,Limited,30,Residential,0.39,Eco-friendly,+91 7870047913
MAT2246,Rubber,Finishing,Urban,25-50 years,Premium,Supplier_37,Limited,46,Bridges,0.71,Eco-friendly,+91 9513313120
MAT2247,Other,Finishing,Industrial,50+ years,Standard,Supplier_65,In Stock,30,Bridges,0.32,Eco-friendly,+91 7085298648
MAT2248,Limestone,Other,Moderate,50+ years,Premium,Supplier_25,Limited,60,Residential,0.43,Standard,+91 8713885374
MAT2249,Marble,Insulation,Urban,50+ years,Premium,Supplier_53,In Stock,6,Infrastructure,0.84,Standard,+91 7870047913
MAT2250,Paint,Decorative,Cold,50+ years,Luxury,Supplier_30,Limited,16,Residential,0.19,Standard,+91 9297528863
MAT2251,Granite,Flooring,Mountain,10-25 years,Economy,Supplier_22,In Stock,11,Airports,0.74,Standard,+91 9800188482
MAT2252,Copper,Decorative,Mountain,25-50 years,Economy,Supplier_8,Out of Stock,55,Industrial plants,0.24,Standard,+91 8464226483
MAT2253,Ceramic Tile,Facade,Urban,25-50 years,Economy,Supplier_81,In Stock,19,Infrastructure,0.84,Standard,+91 8900263885
MAT2254,Adhesive,Flooring,Rural,25-50 years,Luxury,Supplier_90,Limited,19,Airports,0.34,Standard,+91 8844758293
MAT2255,Brick,Flooring,Mountain,50+ years,Standard,Supplier_37,In Stock,22,Roads and highways,0.47,Eco-friendly,+91 9513313120
MAT2256,Wood,Decorative,Humid,25-50 years,Luxury,Supplier_87,Limited,4,Residential,0.53,Eco-friendly,+91 9193943710
MAT2257,Clay,Facade,Industrial,25-50 years,Luxury,Supplier_77,Out of Stock,24,Infrastructure,0.52,Eco-friendly,+91 9060217800
MAT2258,Fiber,Insulation,Dry,25-50 years,Standard,Supplier_1,Limited,17,Other,0.9,Standard,+91 9821243845
MAT2259,Glass,Other,Moderate,25-50 years,Premium,Supplier_15,In Stock,53,Airports,0.22,Eco-friendly,+91 9855764195
MAT2260,Cement,Flooring,Industrial,50+ years,Economy,Supplier_64,In Stock,26,Tunnels,0.41,Eco-friendly,+91 7136693152
MAT2261,Steel,Structural,Rural,50+ years,Standard,Supplier_4,Limited,21,Industrial plants,0.29,Standard,+91 9985896477
MAT2262,Aluminum,Flooring,Humid,10-25 years,Standard,Supplier_44,In Stock,21,Roads and highways,0.35,Eco-friendly,+91 9090351901
MAT2263,Gypsum,Structural,Other,25-50 years,Premium,Supplier_48,Out of Stock,20,Airports,0.89,Standard,+91 9115647592
MAT2264,PVC,Insulation,Other,25-50 years,Standard,Supplier_56,In Stock,2,Marine structures,0.65,Standard,+91 7103766984
MAT2265,Bitumen,Finishing,Coastal,10-25 years,Luxury,Supplier_26,In Stock,59,Roads and highways,0.11,Standard,+91 7207132227
MAT2266,Asphalt,Flooring,Other,50+ years,Economy,Supplier_13,In Stock,59,Residential,0.46,Eco-friendly,+91 8348536286
MAT2267,Sandstone,Finishing,Moderate,5-10 years,Premium,Supplier_57,In Stock,56,Roads and highways,0.34,Eco-friendly,+91 9189872626
MAT2268,Concrete,Insulation,Hot,25-50 years,Premium,Supplier_9,In Stock,20,Residential,0.79,Standard,+91 8602792578
MAT2269,Plaster,Other,Moderate,10-25 years,Standard,Supplier_39,Limited,23,Residential,0.73,Standard,+91 8458974196
MAT2270,Vinyl,Structural,Humid,10-25 years,Standard,Supplier_14,Out of Stock,20,Industrial plants,0.59,Eco-friendly,+91 8073534258
MAT2271,Laminate,Structural,Industrial,10-25 years,Premium,Supplier_19,In Stock,51,Commercial,0.12,Eco-friendly,+91 7314006623
MAT2272,Bamboo,Flooring,Moderate,10-25 years,Standard,Supplier_62,Limited,28,Tunnels,0.95,Eco-friendly,+91 9124597330
MAT2273,Recycled Plastic,Decorative,Hot,25-50 years,Standard,Supplier_63,Out of Stock,16,Infrastructure,0.69,Eco-friendly,+91 8654346090
MAT2274,Polycarbonate,Insulation,Hot,10-25 years,Standard,Supplier_13,Out of Stock,43,Industrial plants,0.1,Eco-friendly,+91 8348536286
MAT2275,Acrylic,Structural,Humid,25-50 years,Luxury,Supplier_78,Out of Stock,7,Marine structures,0.34,Standard,+91 8082914235
MAT2276,Foam,Facade,Coastal,5-10 years,Luxury,Supplier_5,In Stock,11,Residential,0.42,Eco-friendly,+91 7740385731
MAT2277,Rubber,Structural,Hot,10-25 years,Standard,Supplier_55,Out of Stock,20,Industrial plants,0.81,Standard,+91 9963010084
MAT2278,Other,Flooring,Coastal,50+ years,Premium,Supplier_48,Out of Stock,55,Marine structures,0.38,Standard,+91 9115647592
MAT2279,Limestone,Decorative,Urban,10-25 years,Economy,Supplier_87,Limited,21,Infrastructure,0.97,Eco-friendly,+91 9193943710
MAT2280,Marble,Flooring,Humid,50+ years,Luxury,Supplier_30,Out of Stock,42,Roads and highways,0.86,Standard,+91 9297528863
MAT2281,Paint,Flooring,Humid,10-25 years,Luxury,Supplier_87,In Stock,6,Marine structures,0.72,Standard,+91 9193943710
MAT2282,Granite,Facade,Urban,50+ years,Standard,Supplier_47,In Stock,29,Commercial,0.06,Eco-friendly,+91 7383612833
MAT2283,Copper,Facade,Hot,5-10 years,Luxury,Supplier_23,In Stock,48,Commercial,0.12,Eco-friendly,+91 9315879498
MAT2284,Ceramic Tile,Flooring,Mountain,25-50 years,Premium,Supplier_90,Limited,31,Marine structures,0.81,Eco-friendly,+91 8844758293
MAT2285,Adhesive,Decorative,Urban,25-50 years,Premium,Supplier_15,In Stock,50,Tunnels,0.61,Standard,+91 9855764195
MAT2286,Brick,Decorative,Rural,10-25 years,Luxury,Supplier_54,In Stock,59,Bridges,0.44,Standard,+91 9458310307
MAT2287,Wood,Other,Humid,50+ years,Premium,Supplier_95,In Stock,42,Commercial,0.3,Standard,+91 9970401522
MAT2288,Clay,Other,Hot,10-25 years,Standard,Supplier_100,In Stock,7,Tunnels,0.87,Eco-friendly,+91 9271768077
MAT2289,Fiber,Other,Moderate,25-50 years,Premium,Supplier_29,In Stock,40,Bridges,0.04,Standard,+91 8289363518
MAT2290,Glass,Flooring,Rural,50+ years,Standard,Supplier_48,Limited,11,Airports,0.59,Eco-friendly,+91 9115647592
MAT2291,Cement,Other,Coastal,10-25 years,Economy,Supplier_37,Limited,13,Tunnels,0.19,Eco-friendly,+91 9513313120
MAT2292,Steel,Facade,Industrial,5-10 years,Standard,Supplier_93,Limited,38,Airports,0.35,Eco-friendly,+91 7108254575
MAT2293,Aluminum,Finishing,Coastal,50+ years,Economy,Supplier_59,Out of Stock,34,Other,0.92,Eco-friendly,+91 8073945840
MAT2294,Gypsum,Other,Urban,10-25 years,Standard,Supplier_37,In Stock,52,Marine structures,0.38,Standard,+91 9513313120
MAT2295,PVC,Other,Moderate,10-25 years,Premium,Supplier_49,Out of Stock,38,Tunnels,0.07,Eco-friendly,+91 7981454092
MAT2296,Bitumen,Flooring,Humid,25-50 years,Standard,Supplier_77,Out of Stock,34,Industrial plants,0.32,Eco-friendly,+91 9060217800
MAT2297,Asphalt,Other,Mountain,50+ years,Premium,Supplier_34,Out of Stock,47,Bridges,0.83,Eco-friendly,+91 7166009399
MAT2298,Sandstone,Other,Coastal,25-50 years,Premium,Supplier_7,Limited,49,Bridges,0.5,Standard,+91 7548899649
MAT2299,Concrete,Facade,Dry,50+ years,Premium,Supplier_77,Out of Stock,46,Industrial plants,0.96,Eco-friendly,+91 9060217800
MAT2300,Plaster,Finishing,Humid,10-25 years,Standard,Supplier_49,In Stock,11,Other,0.19,Standard,+91 7981454092
MAT2301,Vinyl,Insulation,Dry,50+ years,Standard,Supplier_69,Limited,14,Marine structures,0.23,Eco-friendly,+91 8122680822
MAT2302,Laminate,Flooring,Cold,25-50 years,Standard,Supplier_51,In Stock,47,Airports,0.43,Standard,+91 8070304578
MAT2303,Bamboo,Insulation,Other,10-25 years,Luxury,Supplier_50,Limited,12,Marine structures,0.91,Standard,+91 9224117961
MAT2304,Recycled Plastic,Structural,Urban,25-50 years,Premium,Supplier_62,Out of Stock,52,Other,0.47,Eco-friendly,+91 9124597330
MAT2305,Polycarbonate,Structural,Mountain,10-25 years,Economy,Supplier_25,Limited,49,Roads and highways,0.97,Standard,+91 8713885374
MAT2306,Acrylic,Other,Cold,10-25 years,Luxury,Supplier_17,Limited,26,Tunnels,0.77,Standard,+91 8388837996
MAT2307,Foam,Insulation,Cold,25-50 years,Standard,Supplier_78,Out of Stock,44,Infrastructure,0.27,Eco-friendly,+91 8082914235
MAT2308,Rubber,Flooring,Cold,50+ years,Standard,Supplier_94,In Stock,9,Marine structures,0.95,Standard,+91 9479368062
MAT2309,Other,Insulation,Urban,50+ years,Luxury,Supplier_51,Out of Stock,20,Bridges,0.81,Standard,+91 8070304578
MAT2310,Limestone,Structural,Urban,25-50 years,Luxury,Supplier_62,Out of Stock,21,Industrial plants,0.56,Eco-friendly,+91 9124597330
MAT2311,Marble,Other,Industrial,10-25 years,Luxury,Supplier_23,Limited,58,Other,0.74,Eco-friendly,+91 9315879498
MAT2312,Paint,Insulation,Mountain,25-50 years,Economy,Supplier_98,Limited,1,Marine structures,0.16,Standard,+91 9267705300
MAT2313,Granite,Other,Rural,25-50 years,Luxury,Supplier_61,Out of Stock,15,Roads and highways,0.05,Eco-friendly,+91 8696176323
MAT2314,Copper,Other,Moderate,10-25 years,Economy,Supplier_56,Out of Stock,4,Marine structures,0.63,Eco-friendly,+91 7103766984
MAT2315,Ceramic Tile,Other,Humid,5-10 years,Standard,Supplier_26,Limited,36,Industrial plants,0.69,Eco-friendly,+91 7207132227
MAT2316,Adhesive,Decorative,Moderate,10-25 years,Premium,Supplier_21,Out of Stock,8,Commercial,0.72,Eco-friendly,+91 8310234613
MAT2317,Brick,Structural,Mountain,10-25 years,Standard,Supplier_44,In Stock,10,Tunnels,0.73,Standard,+91 9090351901
MAT2318,Wood,Decorative,Humid,10-25 years,Luxury,Supplier_84,Out of Stock,42,Airports,0.23,Eco-friendly,+91 9340399355
MAT2319,Clay,Insulation,Humid,10-25 years,Economy,Supplier_16,Limited,56,Commercial,0.16,Eco-friendly,+91 8065031990
MAT2320,Fiber,Decorative,Dry,5-10 years,Premium,Supplier_42,In Stock,42,Commercial,0.42,Eco-friendly,+91 8406306174
MAT2321,Glass,Insulation,Other,5-10 years,Standard,Supplier_13,Limited,59,Airports,0.32,Standard,+91 8348536286
MAT2322,Cement,Other,Rural,50+ years,Standard,Supplier_53,In Stock,44,High-rise buildings,0.46,Eco-friendly,+91 7870047913
MAT2323,Steel,Flooring,Humid,50+ years,Standard,Supplier_74,Out of Stock,17,High-rise buildings,0.27,Standard,+91 7134476577
MAT2324,Aluminum,Facade,Moderate,50+ years,Luxury,Supplier_67,Limited,13,Bridges,0.26,Eco-friendly,+91 9809772815
MAT2325,Gypsum,Finishing,Humid,25-50 years,Premium,Supplier_41,Out of Stock,10,Other,0.35,Standard,+91 7742047658
MAT2326,PVC,Structural,Other,10-25 years,Luxury,Supplier_9,Out of Stock,42,Bridges,0.13,Standard,+91 8602792578
MAT2327,Bitumen,Facade,Other,10-25 years,Standard,Supplier_50,Limited,21,Roads and highways,0.92,Standard,+91 9224117961
MAT2328,Asphalt,Insulation,Mountain,25-50 years,Luxury,Supplier_57,Limited,26,High-rise buildings,0.96,Eco-friendly,+91 9189872626
MAT2329,Sandstone,Flooring,Moderate,5-10 years,Premium,Supplier_26,Limited,20,Roads and highways,0.02,Eco-friendly,+91 7207132227
MAT2330,Concrete,Decorative,Mountain,10-25 years,Premium,Supplier_51,Limited,9,High-rise buildings,0.73,Eco-friendly,+91 8070304578
MAT2331,Plaster,Structural,Dry,5-10 years,Standard,Supplier_63,Limited,12,Commercial,0.63,Standard,+91 8654346090
MAT2332,Vinyl,Decorative,Mountain,10-25 years,Economy,Supplier_17,In Stock,28,Roads and highways,0.11,Standard,+91 8388837996
MAT2333,Laminate,Facade,Coastal,5-10 years,Premium,Supplier_93,In Stock,22,Tunnels,0.88,Standard,+91 7108254575
MAT2334,Bamboo,Decorative,Mountain,25-50 years,Premium,Supplier_33,In Stock,38,Roads and highways,0.48,Standard,+91 8687011225
MAT2335,Recycled Plastic,Decorative,Mountain,5-10 years,Luxury,Supplier_1,Limited,44,High-rise buildings,0.05,Standard,+91 9821243845
MAT2336,Polycarbonate,Flooring,Urban,10-25 years,Economy,Supplier_65,Limited,5,Other,0.32,Eco-friendly,+91 7085298648
MAT2337,Acrylic,Flooring,Humid,5-10 years,Standard,Supplier_29,Limited,27,Industrial plants,0.39,Eco-friendly,+91 8289363518
MAT2338,Foam,Other,Industrial,50+ years,Standard,Supplier_37,In Stock,3,Tunnels,0.3,Eco-friendly,+91 9513313120
MAT2339,Rubber,Other,Humid,5-10 years,Premium,Supplier_89,In Stock,3,Other,0.09,Eco-friendly,+91 9969226517
MAT2340,Other,Insulation,Cold,50+ years,Economy,Supplier_65,Out of Stock,43,Tunnels,0.54,Eco-friendly,+91 7085298648
MAT2341,Limestone,Other,Rural,50+ years,Standard,Supplier_29,Limited,34,Other,0.14,Standard,+91 8289363518
MAT2342,Marble,Facade,Humid,10-25 years,Premium,Supplier_39,Out of Stock,44,Other,0.27,Standard,+91 8458974196
MAT2343,Paint,Flooring,Moderate,5-10 years,Economy,Supplier_9,Out of Stock,9,Airports,0.72,Standard,+91 8602792578
MAT2344,Granite,Structural,Industrial,50+ years,Premium,Supplier_12,Out of Stock,46,Industrial plants,0.99,Standard,+91 8882665594
MAT2345,Copper,Insulation,Other,5-10 years,Economy,Supplier_78,Limited,26,Tunnels,0.32,Eco-friendly,+91 8082914235
MAT2346,Ceramic Tile,Insulation,Other,25-50 years,Premium,Supplier_48,Out of Stock,21,High-rise buildings,0.35,Eco-friendly,+91 9115647592
MAT2347,Adhesive,Decorative,Industrial,10-25 years,Economy,Supplier_28,Out of Stock,57,Infrastructure,0.15,Standard,+91 8232645989
MAT2348,Brick,Structural,Moderate,10-25 years,Luxury,Supplier_92,In Stock,26,Marine structures,0.99,Standard,+91 8403005864
MAT2349,Wood,Finishing,Coastal,25-50 years,Premium,Supplier_65,Limited,16,High-rise buildings,0.3,Eco-friendly,+91 7085298648
MAT2350,Clay,Structural,Mountain,25-50 years,Luxury,Supplier_44,In Stock,53,Infrastructure,0.08,Standard,+91 9090351901
MAT2351,Fiber,Decorative,Rural,25-50 years,Economy,Supplier_81,Out of Stock,56,Bridges,0.46,Eco-friendly,+91 8900263885
MAT2352,Glass,Structural,Hot,10-25 years,Economy,Supplier_35,Limited,44,Airports,0.3,Standard,+91 7672697773
MAT2353,Cement,Insulation,Other,10-25 years,Economy,Supplier_48,In Stock,5,Commercial,0.06,Eco-friendly,+91 9115647592
MAT2354,Steel,Decorative,Cold,25-50 years,Premium,Supplier_93,Out of Stock,25,Marine structures,0.42,Standard,+91 7108254575
MAT2355,Aluminum,Insulation,Humid,10-25 years,Standard,Supplier_72,In Stock,24,Industrial plants,0.5,Eco-friendly,+91 7818119199
MAT2356,Gypsum,Finishing,Humid,25-50 years,Standard,Supplier_2,Out of Stock,39,Bridges,0.13,Eco-friendly,+91 9176504598
MAT2357,PVC,Flooring,Dry,50+ years,Standard,Supplier_40,Out of Stock,53,Marine structures,0.76,Eco-friendly,+91 9781709582
MAT2358,Bitumen,Other,Hot,10-25 years,Luxury,Supplier_62,In Stock,36,Residential,0.57,Standard,+91 9124597330
MAT2359,Asphalt,Decorative,Dry,50+ years,Economy,Supplier_81,In Stock,60,Bridges,0.3,Eco-friendly,+91 8900263885
MAT2360,Sandstone,Decorative,Mountain,10-25 years,Premium,Supplier_36,Limited,57,Roads and highways,0.84,Eco-friendly,+91 9803405485
MAT2361,Concrete,Insulation,Mountain,10-25 years,Premium,Supplier_30,In Stock,1,Bridges,0.19,Eco-friendly,+91 9297528863
MAT2362,Plaster,Other,Moderate,25-50 years,Luxury,Supplier_46,Limited,11,Roads and highways,0.4,Standard,+91 9553802633
MAT2363,Vinyl,Facade,Hot,10-25 years,Premium,Supplier_63,Limited,1,Bridges,0.99,Eco-friendly,+91 8654346090
MAT2364,Laminate,Facade,Cold,10-25 years,Standard,Supplier_34,In Stock,15,High-rise buildings,0.19,Eco-friendly,+91 7166009399
MAT2365,Bamboo,Other,Urban,10-25 years,Premium,Supplier_71,Limited,49,Airports,0.11,Eco-friendly,+91 9665352711
MAT2366,Recycled Plastic,Finishing,Urban,10-25 years,Luxury,Supplier_1,Out of Stock,32,Residential,0.18,Standard,+91 9821243845
MAT2367,Polycarbonate,Facade,Moderate,5-10 years,Economy,Supplier_63,In Stock,1,Industrial plants,0.98,Eco-friendly,+91 8654346090
MAT2368,Acrylic,Decorative,Cold,5-10 years,Luxury,Supplier_84,In Stock,52,Other,0.2,Standard,+91 9340399355
MAT2369,Foam,Facade,Moderate,5-10 years,Premium,Supplier_10,Out of Stock,7,Industrial plants,0.72,Standard,+91 9321334334
MAT2370,Rubber,Other,Industrial,25-50 years,Standard,Supplier_44,Limited,28,Airports,0.87,Standard,+91 9090351901
MAT2371,Other,Finishing,Hot,10-25 years,Premium,Supplier_34,In Stock,19,Marine structures,0.59,Standard,+91 7166009399
MAT2372,Limestone,Decorative,Cold,25-50 years,Economy,Supplier_14,In Stock,40,Roads and highways,0.04,Eco-friendly,+91 8073534258
MAT2373,Marble,Decorative,Hot,25-50 years,Premium,Supplier_100,Limited,17,Infrastructure,0.55,Standard,+91 9271768077
MAT2374,Paint,Other,Hot,25-50 years,Standard,Supplier_75,In Stock,49,Bridges,0.68,Standard,+91 7255077357
MAT2375,Granite,Flooring,Humid,25-50 years,Luxury,Supplier_6,Out of Stock,53,Commercial,0.75,Eco-friendly,+91 8728518031
MAT2376,Copper,Flooring,Urban,5-10 years,Standard,Supplier_46,In Stock,59,Marine structures,0.58,Standard,+91 9553802633
MAT2377,Ceramic Tile,Structural,Coastal,5-10 years,Standard,Supplier_46,In Stock,11,Airports,0.77,Standard,+91 9553802633
MAT2378,Adhesive,Flooring,Dry,25-50 years,Luxury,Supplier_94,Limited,32,Commercial,0.05,Eco-friendly,+91 9479368062
MAT2379,Brick,Decorative,Mountain,5-10 years,Economy,Supplier_75,Out of Stock,54,Infrastructure,0.77,Eco-friendly,+91 7255077357
MAT2380,Wood,Finishing,Urban,5-10 years,Premium,Supplier_58,Out of Stock,51,Roads and highways,0.69,Eco-friendly,+91 8538848385
MAT2381,Clay,Facade,Rural,10-25 years,Luxury,Supplier_14,In Stock,5,Other,0.96,Standard,+91 8073534258
MAT2382,Fiber,Facade,Cold,5-10 years,Economy,Supplier_53,Limited,23,Commercial,0.52,Standard,+91 7870047913
MAT2383,Glass,Other,Mountain,10-25 years,Standard,Supplier_99,In Stock,58,Residential,0.39,Standard,+91 7026320860
MAT2384,Cement,Finishing,Coastal,5-10 years,Standard,Supplier_80,Out of Stock,34,Tunnels,0.22,Standard,+91 8234607783
MAT2385,Steel,Insulation,Mountain,5-10 years,Standard,Supplier_39,Limited,26,Industrial plants,0.75,Standard,+91 8458974196
MAT2386,Aluminum,Decorative,Industrial,5-10 years,Standard,Supplier_35,In Stock,44,Commercial,0.14,Eco-friendly,+91 7672697773
MAT2387,Gypsum,Other,Mountain,10-25 years,Premium,Supplier_26,Limited,7,Other,0.05,Standard,+91 7207132227
MAT2388,PVC,Decorative,Cold,50+ years,Economy,Supplier_26,Out of Stock,17,High-rise buildings,0.18,Standard,+91 7207132227
MAT2389,Bitumen,Finishing,Other,10-25 years,Premium,Supplier_57,Limited,54,Industrial plants,0.95,Eco-friendly,+91 9189872626
MAT2390,Asphalt,Decorative,Rural,10-25 years,Premium,Supplier_16,Out of Stock,14,Tunnels,0.95,Standard,+91 8065031990
MAT2391,Sandstone,Decorative,Mountain,5-10 years,Economy,Supplier_75,In Stock,45,Bridges,0.8,Standard,+91 7255077357
MAT2392,Concrete,Finishing,Coastal,5-10 years,Economy,Supplier_28,Limited,31,Commercial,0.21,Standard,+91 8232645989
MAT2393,Plaster,Insulation,Mountain,10-25 years,Premium,Supplier_46,Out of Stock,16,Commercial,0.18,Eco-friendly,+91 9553802633
MAT2394,Vinyl,Facade,Coastal,10-25 years,Luxury,Supplier_87,In Stock,34,Industrial plants,0.45,Standard,+91 9193943710
MAT2395,Laminate,Flooring,Humid,50+ years,Premium,Supplier_58,In Stock,32,Residential,0.77,Standard,+91 8538848385
MAT2396,Bamboo,Other,Cold,50+ years,Standard,Supplier_78,In Stock,43,Industrial plants,0.47,Standard,+91 8082914235
MAT2397,Recycled Plastic,Flooring,Dry,10-25 years,Standard,Supplier_12,Limited,11,Commercial,0.78,Standard,+91 8882665594
MAT2398,Polycarbonate,Structural,Dry,5-10 years,Economy,Supplier_69,Out of Stock,12,Marine structures,0.01,Eco-friendly,+91 8122680822
MAT2399,Acrylic,Structural,Dry,5-10 years,Economy,Supplier_93,Limited,30,Other,0.86,Standard,+91 7108254575
MAT2400,Foam,Other,Urban,5-10 years,Luxury,Supplier_52,In Stock,50,Roads and highways,0.27,Standard,+91 9350399941
MAT2401,Rubber,Decorative,Moderate,5-10 years,Luxury,Supplier_53,Out of Stock,3,Marine structures,0.71,Eco-friendly,+91 7870047913
MAT2402,Other,Other,Industrial,50+ years,Luxury,Supplier_17,In Stock,43,Other,0.7,Eco-friendly,+91 8388837996
MAT2403,Limestone,Other,Other,10-25 years,Standard,Supplier_38,Out of Stock,4,Infrastructure,0.29,Eco-friendly,+91 8178252144
MAT2404,Marble,Finishing,Moderate,50+ years,Economy,Supplier_32,In Stock,60,Industrial plants,0.74,Eco-friendly,+91 9984893047
MAT2405,Paint,Other,Moderate,5-10 years,Standard,Supplier_89,Limited,59,Infrastructure,0.78,Eco-friendly,+91 9969226517
MAT2406,Granite,Other,Hot,5-10 years,Luxury,Supplier_25,Out of Stock,17,Tunnels,0.33,Eco-friendly,+91 8713885374
MAT2407,Copper,Flooring,Moderate,25-50 years,Economy,Supplier_5,Out of Stock,3,Other,0.23,Eco-friendly,+91 7740385731
MAT2408,Ceramic Tile,Other,Dry,5-10 years,Economy,Supplier_83,Limited,3,Residential,0.51,Standard,+91 8349419107
